phase,status,reason
001,DONE,Repository state resolved.
002,DONE,PR #9 exact state resolved.
003,DONE,Scope verified.
004,DONE,Release-guard semantics verified.
005,DONE,Focused guard tests passed.
006,DONE,Local verification passed.
007,DONE,Exact-head checks successful.
008,DONE,PR marked ready.
009,DONE,PR merged.
010,DONE,Main synchronized.
011,DONE,Registry reconciled.
012,DONE,Pre-publication prerequisites validated enough to dispatch.
013,DONE,Workflow dispatched.
014,SKIPPED_BLOCKED_EXTERNAL,Publication stopped on exact-version readback lag after the first successful publish; subsequent packages were not attempted.
015,DONE,Recovery workflow fix committed and branched.
016,DONE,Recovery PR opened.
017,DONE,Partial-publication recovery escalated to preview.2.
018,DONE,Preview.2 recovery branch committed and PR opened.
